fed_num,provider_name
335281,ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C
335607,ABSOLUT CTR FOR NURSING & REHAB EDEN L L C
335533,ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C
335507,ABSOLUT CTR FOR NURSING & REHAB ORCHARD PARK L L C
335662,AUTUMN VIEW HEALTH CARE FACILITY L L C
335468,BEECHWOOD HOMES
335112,BROTHERS OF MERCY NURSING & REHABILITATION CENTER
335638,BUFFALO CENTER FOR REHABILITATION AND NURSING
335816,CANTERBURY WOODS
335172,COMPREHENSIVE REHAB & NURSING CTR AT WILLIAMSVILLE
335669,DEGRAFF MEMORIAL HOSPITAL-SKILLED NURSING FACILITY
335056,ELDERWOOD AT AMHERST
335752,ELDERWOOD AT CHEEKTOWAGA
335391,ELDERWOOD AT GRAND ISLAND
335679,ELDERWOOD AT HAMBURG
335577,ELDERWOOD AT LANCASTER
335500,ELDERWOOD AT LOCKPORT
335790,ELDERWOOD AT WHEATFIELD
335326,ELDERWOOD AT WILLIAMSVILLE
335437,ELLICOTT CENTER FOR REHABILITATION AND NURSING
335640,EMERALD NORTH NURSING AND REHABILITATION CENTER
335593,EMERALD SOUTH NURSING AND REHABILITATION CENTER
335777,FATHER BAKER MANOR
335457,FIDDLERS GREEN MANOR REHABILITATION & NURSING CTR
335854,FOX RUN AT ORCHARD PARK
335634,GARDEN GATE HEALTH CARE FACILITY
335182,GREENFIELD HEALTH AND REHABILITATION CENTER
335757,HARRIS HILL NURSING FACILITY L L C
335834,HIGHPOINTE ON MICHIGAN HEALTH CARE FACILITY
335164,HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER
335435,"JENNIE B RICHMOND CHAFFEE NURSING HOME CO., INC."
335573,LOCKPORT REHAB & HEALTH CARE CENTER
335433,MCAULEY RESIDENCE
335308,MERCY HOSPITAL SKILLED NURSING FACILITY
335481,NEWFANE REHAB AND HEALTH CARE CENTER
335742,NIAGARA REHABILITATION AND NURSING CENTER
335649,NORTH GATE HEALTH CARE FACILITY
335843,OUR LADY OF PEACE NURSING CARE RESIDENCE
335176,ROSA COPLON JEWISH HOME AND INFIRMARY
335180,"SAFIRE REHABILITATION OF NORTHTOWNS, L L C"
335663,"SAFIRE REHABILITATION OF SOUTHTOWN, L L C"
335376,SCHOELLKOPF HEALTH CENTER
335603,SCHOFIELD RESIDENCE
335504,SENECA HEALTH CARE CENTER
335419,ST CATHERINE LABOURE HEALTH CARE CENTER
335650,TERRACE VIEW LONG TERM CARE FACILITY
335647,WILLIAMSVILLE SUBURBAN L L C